iter	Passed	Remaining
462	775	899
463	777	897
464	778	895
465	780	894
466	781	892
467	783	890
468	784	888
469	785	886
470	787	884
471	788	882
472	790	880
473	791	878
474	793	876
475	795	875
476	796	873
477	798	871
478	799	869
479	801	868
480	802	866
481	804	864
482	805	862
483	807	860
484	808	858
485	810	857
486	812	855
487	813	853
488	815	851
489	816	850
490	818	848
491	819	846
492	821	844
493	822	842
494	824	840
495	825	839
496	827	837
497	829	835
498	830	833
499	831	831
500	833	829
501	834	827
502	835	825
503	837	824
504	838	822
505	840	820
506	841	818
507	843	816
508	844	814
509	845	812
510	847	810
511	848	809
512	850	807
513	852	805
514	853	804
515	855	802
516	856	800
517	858	798
518	859	796
519	861	795
520	862	793
521	864	791
522	865	789
523	867	787
524	868	785
525	869	783
526	871	782
527	872	780
528	874	778
529	875	776
530	877	774
531	878	773
532	880	771
533	881	769
534	883	767
535	884	765
536	886	764
537	888	762
538	889	761
539	891	759
540	892	757
541	894	755
542	896	754
543	897	752
544	899	750
545	900	748
546	902	747
547	903	745
548	905	743
549	907	742
550	908	740
551	910	738
552	911	736
553	913	735
554	914	733
555	916	731
556	917	729
557	918	727
558	920	726
559	922	724
560	923	722
561	924	720
562	926	719
563	927	717
564	929	715
565	930	713
566	932	711
567	933	710
568	935	708
569	936	706
570	938	705
571	939	703
572	941	701
573	942	699
574	944	697
575	945	696
576	947	694
577	948	692
578	950	690
579	951	689
580	953	687
581	954	685
582	957	684
583	958	683
584	960	681
585	962	680
586	964	678
587	966	677
588	967	675
589	970	674
590	972	673
591	974	671
592	976	670
593	978	668
594	981	667
595	982	665
596	983	664
597	985	662
598	987	660
599	989	659
600	990	657
601	992	655
602	993	654
603	995	652
604	997	651
605	998	649
606	1000	647
607	1001	645
608	1003	644
609	1005	642
610	1006	641
611	1008	639
612	1010	637
613	1011	635
614	1013	634
615	1015	632
616	1016	631
617	1018	629
618	1020	627
619	1021	626
620	1024	625
621	1026	623
622	1028	622
623	1030	620
624	1032	619
625	1034	617
626	1035	616
627	1037	614
628	1038	612
629	1040	611
630	1042	609
631	1043	607
632	1045	606
633	1047	604
634	1050	603
635	1052	602
636	1053	600
637	1055	598
638	1057	597
639	1058	595
640	1060	594
641	1062	592
642	1063	590
643	1065	588
644	1067	587
645	1069	586
646	1070	584
647	1073	582
648	1074	581
649	1076	579
650	1078	578
651	1079	576
652	1081	574
653	1083	573
654	1085	571
655	1087	570
656	1089	568
657	1090	566
658	1092	565
659	1094	563
660	1096	562
661	1098	560
662	1100	559
663	1102	557
664	1104	556
665	1105	554
666	1107	552
667	1109	551
668	1111	549
669	1113	548
670	1114	546
671	1116	544
672	1117	543
673	1119	541
674	1121	539
675	1122	538
676	1124	536
677	1125	534
678	1127	533
679	1129	531
680	1130	529
681	1132	527
682	1133	526
683	1135	524
684	1136	522
685	1138	520
686	1139	519
687	1141	517
688	1142	515
689	1144	514
690	1147	512
691	1148	511
692	1150	509
693	1151	507
694	1153	506
695	1154	504
696	1156	502
697	1157	500
698	1159	499
699	1160	497
700	1162	495
701	1164	494
702	1165	492
703	1167	490
704	1168	489
705	1169	487
706	1171	485
707	1172	483
708	1174	481
709	1175	480
710	1177	478
711	1178	476
712	1180	475
713	1181	473
714	1183	471
715	1185	470
716	1186	468
717	1188	466
718	1190	465
719	1191	463
720	1193	461
721	1194	459
722	1196	458
723	1197	456
724	1199	454
725	1200	453
726	1202	451
727	1204	449
728	1205	448
729	1207	446
730	1208	444
731	1210	443
732	1211	441
733	1213	439
734	1214	438
735	1216	436
736	1218	434
737	1219	433
738	1221	431
739	1223	429
740	1225	428
741	1227	426
742	1228	425
743	1230	423
744	1232	421
745	1233	420
746	1235	418
747	1237	416
748	1238	415
749	1240	413
750	1241	411
751	1243	410
752	1244	408
753	1246	406
754	1248	405
755	1249	403
756	1251	401
757	1253	400
758	1254	398
759	1256	396
760	1257	395
761	1259	393
762	1261	391
763	1263	390
764	1264	388
765	1266	386
766	1267	385
767	1269	383
768	1271	381
769	1272	380
770	1273	378
771	1275	376
772	1277	375
773	1278	373
774	1280	371
775	1281	369
776	1283	368
777	1285	366
778	1286	365
779	1288	363
780	1290	361
781	1291	360
782	1293	358
783	1295	356
784	1296	355
785	1298	353
786	1299	351
787	1301	350
788	1303	348
789	1305	347
790	1307	345
791	1308	343
792	1310	341
793	1312	340
794	1313	338
795	1315	337
796	1316	335
797	1318	333
798	1320	332
799	1322	330
800	1323	328
801	1325	327
802	1326	325
803	1328	323
804	1331	322
805	1332	320
806	1334	319
807	1336	317
808	1338	315
809	1339	314
810	1341	312
811	1343	310
812	1344	309
813	1346	307
814	1348	306
815	1349	304
816	1351	302
817	1352	300
818	1354	299
819	1355	297
820	1357	295
821	1359	294
822	1360	292
823	1362	290
824	1363	289
825	1366	287
826	1368	286
827	1369	284
828	1371	282
829	1372	281
830	1374	279
831	1376	277
832	1377	276
833	1379	274
834	1380	272
835	1382	271
836	1384	269
837	1385	267
838	1388	266
839	1390	264
840	1392	263
841	1394	261
842	1396	259
843	1397	258
844	1399	256
845	1400	255
846	1402	253
847	1403	251
848	1405	249
849	1406	248
850	1407	246
851	1409	244
852	1410	243
853	1412	241
854	1413	239
855	1414	237
856	1415	236
857	1417	234
858	1419	232
859	1420	231
860	1422	229
861	1423	227
862	1424	226
863	1426	224
864	1427	222
865	1429	221
866	1430	219
867	1432	217
868	1433	216
869	1435	214
870	1436	212
871	1438	211
872	1440	209
873	1441	207
874	1443	206
875	1445	204
876	1448	203
877	1449	201
878	1451	199
879	1452	198
880	1454	196
881	1455	194
882	1457	193
883	1458	191
884	1460	189
885	1461	188
886	1463	186
887	1464	184
888	1466	183
889	1467	181
890	1468	179
891	1470	178
892	1472	176
893	1473	174
894	1474	173
895	1476	171
896	1477	169
897	1479	168
898	1481	166
899	1482	164
900	1483	163
901	1485	161
902	1487	159
903	1489	158
904	1490	156
905	1491	154
906	1493	153
907	1494	151
908	1496	149
909	1498	148
910	1499	146
911	1501	144
912	1502	143
913	1504	141
914	1505	139
915	1507	138
916	1508	136
917	1509	134
918	1511	133
919	1512	131
920	1514	129
921	1516	128
922	1517	126
923	1519	124
924	1520	123
925	1522	121
926	1524	120
927	1525	118
928	1526	116
929	1528	115
930	1529	113
931	1531	111
932	1533	110
933	1534	108
934	1535	106
935	1537	105
936	1538	103
937	1540	101
938	1542	100
939	1543	98
940	1545	96
941	1546	95
942	1547	93
943	1549	91
944	1550	90
945	1552	88
946	1553	86
947	1555	85
948	1556	83
949	1558	82
950	1560	80
951	1561	78
952	1562	77
953	1564	75
954	1565	73
955	1567	72
956	1569	70
957	1570	68
958	1571	67
959	1573	65
960	1574	63
961	1576	62
962	1578	60
963	1579	58
964	1581	57
965	1582	55
966	1583	54
967	1585	52
968	1586	50
969	1588	49
970	1589	47
971	1591	45
972	1592	44
973	1594	42
974	1595	40
975	1597	39
976	1598	37
977	1599	35
978	1601	34
979	1602	32
980	1604	31
981	1605	29
982	1607	27
983	1608	26
984	1610	24
985	1611	22
986	1613	21
987	1614	19
988	1616	17
989	1617	16
990	1619	14
991	1621	13
992	1623	11
993	1624	9
994	1626	8
995	1628	6
996	1629	4
997	1631	3
998	1633	1
999	1634	0
